gene_id	gene_name	transcript_id	sample	TPM	treat	batch	time_point
ENSMUSG00000049109	Themis	ENSMUST00000056097	LM411_R2_t1	10.32	LM411	R2	t1
ENSMUSG00000049109	Themis	ENSMUST00000060409	LM411_R2_t1	1.48	LM411	R2	t1
ENSMUSG00000049109	Themis	ENSMUST00000105516	LM411_R2_t1	2.41	LM411	R2	t1
ENSMUSG00000051517	Arhgef39	ENSMUST00000054538	LM411_R2_t1	0.3	LM411	R2	t1
ENSMUSG00000051517	Arhgef39	ENSMUST00000125834	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000051517	Arhgef39	ENSMUST00000128754	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000051517	Arhgef39	ENSMUST00000129378	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000053957	NA	ENSMUST00000122898	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000053957	NA	ENSMUST00000199168	LM411_R2_t1	0.07	LM411	R2	t1
ENSMUSG00000053957	NA	ENSMUST00000242641	LM411_R2_t1	0.2	LM411	R2	t1
ENSMUSG00000053957	NA	ENSMUST00000264734	LM411_R2_t1	0.39	LM411	R2	t1
ENSMUSG00000054823	Nsd3	ENSMUST00000136107	LM411_R2_t1	14.42	LM411	R2	t1
ENSMUSG00000054823	Nsd3	ENSMUST00000139966	LM411_R2_t1	2.98	LM411	R2	t1
ENSMUSG00000054823	Nsd3	ENSMUST00000142395	LM411_R2_t1	5.96	LM411	R2	t1
ENSMUSG00000054823	Nsd3	ENSMUST00000146919	LM411_R2_t1	15.23	LM411	R2	t1
ENSMUSG00000054823	Nsd3	ENSMUST00000155861	LM411_R2_t1	7.31	LM411	R2	t1
ENSMUSG00000055239	Kcmf1	ENSMUST00000068697	LM411_R2_t1	19.42	LM411	R2	t1
ENSMUSG00000055239	Kcmf1	ENSMUST00000204598	LM411_R2_t1	34.53	LM411	R2	t1
ENSMUSG00000056476	Med12l	ENSMUST00000040325	LM411_R2_t1	0.02	LM411	R2	t1
ENSMUSG00000056476	Med12l	ENSMUST00000040846	LM411_R2_t1	0.04	LM411	R2	t1
ENSMUSG00000056476	Med12l	ENSMUST00000197374	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000056476	Med12l	ENSMUST00000199659	LM411_R2_t1	0.04	LM411	R2	t1
ENSMUSG00000056536	Pign	ENSMUST00000070699	LM411_R2_t1	0.67	LM411	R2	t1
ENSMUSG00000056536	Pign	ENSMUST00000186485	LM411_R2_t1	3.41	LM411	R2	t1
ENSMUSG00000056724	Nbeal2	ENSMUST00000167320	LM411_R2_t1	7.93	LM411	R2	t1
ENSMUSG00000056724	Nbeal2	ENSMUST00000196488	LM411_R2_t1	2.47	LM411	R2	t1
ENSMUSG00000057234	Mettl15	ENSMUST00000081631	LM411_R2_t1	3.73	LM411	R2	t1
ENSMUSG00000057234	Mettl15	ENSMUST00000147376	LM411_R2_t1	0.2	LM411	R2	t1
ENSMUSG00000057234	Mettl15	ENSMUST00000147770	LM411_R2_t1	0.19	LM411	R2	t1
ENSMUSG00000057948	Unc13d	ENSMUST00000075036	LM411_R2_t1	2.55	LM411	R2	t1
ENSMUSG00000057948	Unc13d	ENSMUST00000106450	LM411_R2_t1	21.58	LM411	R2	t1
ENSMUSG00000057948	Unc13d	ENSMUST00000106451	LM411_R2_t1	7.24	LM411	R2	t1
ENSMUSG00000058298	Mcm9	ENSMUST00000075540	LM411_R2_t1	2.07	LM411	R2	t1
ENSMUSG00000058298	Mcm9	ENSMUST00000219838	LM411_R2_t1	0.96	LM411	R2	t1
ENSMUSG00000058298	Mcm9	ENSMUST00000220007	LM411_R2_t1	2.33	LM411	R2	t1
ENSMUSG00000058298	Mcm9	ENSMUST00000237608	LM411_R2_t1	2.58	LM411	R2	t1
ENSMUSG00000059810	Rgs3	ENSMUST00000098031	LM411_R2_t1	0.82	LM411	R2	t1
ENSMUSG00000059810	Rgs3	ENSMUST00000107420	LM411_R2_t1	0.45	LM411	R2	t1
ENSMUSG00000059810	Rgs3	ENSMUST00000127254	LM411_R2_t1	6.57	LM411	R2	t1
ENSMUSG00000059810	Rgs3	ENSMUST00000144489	LM411_R2_t1	17.9	LM411	R2	t1
ENSMUSG00000059820	Nkapd1	ENSMUST00000131351	LM411_R2_t1	17.52	LM411	R2	t1
ENSMUSG00000059820	Nkapd1	ENSMUST00000147671	LM411_R2_t1	5.56	LM411	R2	t1
ENSMUSG00000059820	Nkapd1	ENSMUST00000171462	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000060791	Gmfg	ENSMUST00000078845	LM411_R2_t1	96.15	LM411	R2	t1
ENSMUSG00000060791	Gmfg	ENSMUST00000138741	LM411_R2_t1	4.31	LM411	R2	t1
ENSMUSG00000062210	Tnfaip8	ENSMUST00000128377	LM411_R2_t1	7.56	LM411	R2	t1
ENSMUSG00000062210	Tnfaip8	ENSMUST00000148159	LM411_R2_t1	13.77	LM411	R2	t1
ENSMUSG00000062210	Tnfaip8	ENSMUST00000148989	LM411_R2_t1	15.54	LM411	R2	t1
ENSMUSG00000065990	Aurkaip1	ENSMUST00000084097	LM411_R2_t1	70.26	LM411	R2	t1
ENSMUSG00000065990	Aurkaip1	ENSMUST00000105591	LM411_R2_t1	41.17	LM411	R2	t1
ENSMUSG00000065990	Aurkaip1	ENSMUST00000105592	LM411_R2_t1	17.79	LM411	R2	t1
